name,type,province,综合指标（校友会网）_科学研究,综合指标（校友会网）_人才培养,综合指标（校友会网）_综合声誉,学科排名（武书连）_综合实力,学科排名（武书连）_自然科学,学科排名（武书连）_社会科学,学科排名（武书连）_理学,学科排名（武书连）_工学,学科排名（武书连）_农学,学科排名（武书连）_医学,学科排名（武书连）_哲学,学科排名（武书连）_经济学,学科排名（武书连）_法学,学科排名（武书连）_教育学,学科排名（武书连）_文学,学科排名（武书连）_历史学,学科排名（武书连）_管理学,学科排名（武书连）_艺术学
西安电子科技大学,理工,陕西,9.1,7.01,10.13,0.8,0.7,0.9,0.9,0.7,0,0,0.5,0.8,0.6,0.9,0.9,0.8,0.7,0.8
郑州大学,综合,河南,5.65,9.88,10.47,0.7,0.1,0.9,0.5,0.1,0,0,0,1,0.8,0,0.7,0,0.9,0
河海大学,理工,江苏,7.81,5.94,14.33,0.8,0.8,0.9,0.8,0.8,0,0,0.6,0.8,0.8,0,0.8,0.6,0.8,0.9
西北农林科技大学,农林,陕西,6.84,6.57,13.32,1,1,0.9,1,1,0.7,1,0,0.9,0.9,0,0.9,0,1,0
云南大学,综合,云南,6.73,7.74,9.89,0.7,0.6,0.7,0.6,0.7,0,0.4,0.3,0.7,0.8,0.7,0.8,0.1,0.6,0.7
合肥工业大学,理工,安徽,5.9,7.07,13.74,0.8,0.8,0.4,0,0.4,0,0.9,0,0,0.1,0,0,0,0.7,0
湖南师范大学,师范,湖南,5.52,8.65,9.92,0.7,0.6,0.8,0.7,0.4,0,0,0.4,0.1,0.7,0.8,0.8,0.8,0.5,0.9
北京邮电大学,理工,北京,8.75,4.42,11.91,1,1,1,1,0.9,0.7,0.9,0.6,0.8,0.9,0.6,1,0.8,0.9,0.8
暨南大学,综合,广东,6.65,6.77,10.61,0.9,0.8,0.8,0.9,0.8,0.5,0.8,0.5,0.8,0.9,0.9,0.8,0.5,0.7,0.8
哈尔滨工程大学,理工,黑龙江,6.94,4.78,14.16,0.9,0.9,0.8,0.8,1,0.5,0.6,0,0.6,0.6,0,0.7,0,0.9,0.7
北京林业大学,林业,北京,5.16,5.18,14.39,0.9,0.9,0.8,0.9,1,0,0.7,0.4,0.7,0.8,0,0.8,0,0.9,0.7
北京工业大学,理工,北京,6.64,5.53,8.57,1,1,1,0.9,0.9,0,0.9,0.9,1,1,0,1,0.9,1,0.9
福州大学,理工,福建,5.91,5.04,9.98,0.8,0.8,0.7,0.6,0.8,0,0,0,0.7,0.7,0.8,0.7,0,0.8,0.9
南昌大学,综合,江西,7.22,4.83,6.88,0.8,0.8,0.6,0.7,0.8,0,0,0,0.5,0,0.5,0.6,0,0.6,0
江南大学,综合,江苏,6.74,3.04,11.91,0.9,0.9,0.9,0.8,1,0,0.8,0.5,0.9,0.8,0.7,0.7,0,1,0
陕西师范大学,师范,陕西,4.89,7.15,5.79,0.8,0.7,0.8,0.9,0.7,0,0.5,0.3,0.9,0.7,0,0.8,0.8,0.7,0.6
华南师范大学,师范,广东,4.34,7.25,6.7,0.9,0.9,0.7,0.8,1,0,0,0,0.6,0.7,0,0.5,0,0.8,0
中国政法大学,政法,北京,2.35,5.42,14.85,0.8,0.8,0.7,0.7,0.7,1,0,0,0.3,0.5,0,0.6,0,0.8,0
首都医科大学,医药,北京,7.8,4.23,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
华南农业大学,农林,广东,5.25,5.7,4.3,0.8,0.8,0.9,0.9,0.7,0.8,0.6,0.3,0.6,0.8,1,0.9,0.6,0.8,0.8
内蒙古大学,综合,内蒙古,4.7,4.5,8.41,0.8,0.8,0.7,0.5,0.8,0.3,0.4,0,0.7,0.6,0,0.6,0,0.8,0.7
新疆大学,综合,新疆,4.69,4.08,9.52,0.7,0.7,0.8,0.7,0.7,0,0.1,0.4,0.8,0.8,0,0.8,0.6,0.7,0.2
中央民族大学,民族,北京,2.75,4.62,12.35,0.7,0.8,0.7,0.6,0.8,0,0,0,0.6,0.7,0.5,0.7,0,0.7,0.6
上海财经大学,财经,上海,2.5,5.4,10.55,0.8,0.8,0.7,0.8,0.7,0.9,0.6,0.1,0.7,0.7,0.7,0.8,0.6,0.7,0.7
中南财经政法大学,财经,湖北,2.65,6.6,6.74,0.7,0.7,0.8,0.8,0.5,0.6,0,0.2,0.7,0.8,0.3,0.7,0.8,0.7,0.6
南京医科大学,医药,江苏,6.38,3.7,2.98,1,1,1,1,1,1,1,0.7,1,0.9,0.9,1,0.7,1,0.8
太原理工大学,理工,山西,4.38,4.53,6.08,0.8,0.8,0.7,0.7,0.8,0,0.5,0,0.7,0.6,0.7,0.7,0,0.7,0.3
