name,type,province,综合指标（校友会网）_科学研究,综合指标（校友会网）_人才培养,综合指标（校友会网）_综合声誉,综合指标（武书连）_人才培养,综合指标（武书连）_研究生培养,综合指标（武书连）_本科生培养,综合指标（武书连）_科学研究,综合指标（武书连）_自然科学研究,综合指标（武书连）_社会科学研究,学科排名（武书连）_综合实力,学科排名（武书连）_自然科学,学科排名（武书连）_社会科学,学科排名（武书连）_理学,学科排名（武书连）_工学,学科排名（武书连）_农学,学科排名（武书连）_医学,学科排名（武书连）_哲学,学科排名（武书连）_经济学,学科排名（武书连）_法学,学科排名（武书连）_教育学,学科排名（武书连）_文学,学科排名（武书连）_历史学,学科排名（武书连）_管理学,学科排名（武书连）_艺术学
华中科技大学,理工,湖北,0.7599,0.7316,0.7201,0.515027171,0.464718579,0.616232465,0.436833964,0.414782957,0.23739549,1,1,0.9,0.8,1,0,0.9,0.6,0.9,0.9,0,0.8,0,1,0.6
华中农业大学,农林,湖北,0.6509,0.6616,0.6723,0.202284574,0.126515026,0.354709419,0.119113097,0.117723545,0.052951609,0.8,0.8,0.7,0.8,0.7,1,0,0,0.5,0.7,0,0.5,0,0.8,0
华中师范大学,师范,湖北,0.663,0.6682,0.6805,0.21426195,0.179146605,0.28490314,0.156668958,0.079415883,0.260704332,0.8,0.7,1,0.9,0.6,0,0,0.5,0.7,0.9,1,1,0.9,0.8,0.8
吉林大学,综合,吉林,0.7715,0.7637,0.6997,0.488188976,0.431512535,0.60253841,0.395238914,0.355871174,0.263744616,1,1,1,1,0.9,0.6,0.8,0.7,0.9,1,0.7,0.8,0.8,0.8,0.7
暨南大学,综合,广东,0.6364,0.6534,0.66,0.16668515,0.133986386,0.23246493,0.117394294,0.058411682,0.197871801,0.8,0.7,0.9,0.8,0.7,0,0.7,0,0.9,0.8,0.7,0.9,0.7,0.8,0.7
江南大学,综合,江苏,0.6238,0.6434,0.6706,0.184540313,0.132990204,0.288577154,0.133894809,0.139627926,0.041297188,0.8,0.8,0.7,0.6,0.9,0.7,0,0,0.7,0.6,0.6,0.7,0,0.7,0.7
江苏大学,综合,江苏,0.6218,0.6432,0.6033,0.148164578,0.10708949,0.230794923,0.093846683,0.091118224,0.045857613,0.8,0.8,0.7,0.6,0.8,0,0.6,0,0.6,0.7,0.6,0.7,0.2,0.8,0.6
兰州大学,综合,甘肃,0.6462,0.6792,0.692,0.278473994,0.253694172,0.328323313,0.242609144,0.24254851,0.101089435,0.9,0.9,0.8,1,0.8,0.7,0.7,0.2,0.8,0.7,0.6,0.8,0.8,0.7,0.4
南昌大学,综合,江西,0.6239,0.6466,0.6713,0.160474659,0.092478831,0.297261189,0.073049158,0.065513103,0.049404611,0.8,0.8,0.7,0.7,0.8,0.6,0.7,0.2,0.6,0.8,0.6,0.8,0.6,0.8,0.7
南京大学,综合,江苏,0.7829,0.788,0.7614,0.590551181,0.565498921,0.640948564,0.563337917,0.427785557,0.576893843,1,1,1,1,0.8,0,0.8,0.8,1,1,0.8,1,1,1,0.9
南京工业大学,理工,江苏,0.6261,0.6429,0.6033,0.124209826,0.09131662,0.190380762,0.08783087,0.093418684,0.022295414,0.7,0.8,0.6,0.5,0.8,0,0.3,0,0.4,0.6,0,0.3,0,0.7,0
南京航空航天大学,理工,江苏,0.6316,0.6544,0.6922,0.224797605,0.187282085,0.300267201,0.177466483,0.173834767,0.083101089,0.9,0.9,0.8,0.7,0.9,0,0,0,0.7,0.6,0,0.7,0,0.9,0.7
南京理工大学,理工,江苏,0.641,0.6546,0.6871,0.196961295,0.146936742,0.29759519,0.142488828,0.152830566,0.03268305,0.8,0.8,0.6,0.6,0.9,0,0,0,0.6,0.6,0,0.6,0,0.7,0
南京农业大学,农林,江苏,0.6365,0.6621,0.6871,0.201840967,0.168852731,0.268537074,0.161395669,0.142228446,0.115530783,0.8,0.8,0.8,0.8,0.7,1,0.5,0,0.8,0.6,0,0.5,0,1,0
南京师范大学,师范,江苏,0.6366,0.6644,0.6521,0.173006543,0.13000166,0.259519038,0.107768993,0.053810762,0.181403598,0.8,0.7,0.9,0.8,0.6,0,0,0.6,0.7,0.9,1,0.9,0.7,0.7,0.9
南京医科大学,医药,江苏,0.6278,0.6424,0.6033,0.101142287,0.075543749,0.152638611,0.071502234,0.080516103,0.006840638,0.7,0.8,0.3,0.7,0.1,0,0.9,0,0,0,0,0.4,0,0.5,0
南开大学,综合,天津,0.7279,0.7286,0.7135,0.430187424,0.390835132,0.509018036,0.385957374,0.268353671,0.45806942,1,0.9,1,1,0.8,0,0.7,0.8,1,0.9,0,1,1,1,0.7
宁波大学,综合,浙江,0.6168,0.6329,0.6056,0.100476877,0.064253694,0.173346693,0.06471296,0.048109622,0.068913099,0.7,0.7,0.7,0.6,0.7,0.6,0.5,0,0.7,0.7,0.8,0.8,0.5,0.7,0.4
青岛大学,综合,山东,0.6126,0.6383,0.6066,0.119330154,0.055288062,0.248162993,0.044946717,0.040408082,0.030149481,0.7,0.7,0.7,0.7,0.6,0,0.7,0.1,0.7,0.4,0.5,0.8,0.4,0.6,0.6
清华大学,理工,北京,0.9871,0.9661,0.9926,0.960186315,0.943217666,0.994321977,0.949553111,0.919183837,0.470990626,1,1,1,1,1,0,0.8,0.7,0.9,1,0,0.9,0.9,1,1
厦门大学,综合,福建,0.7195,0.7108,0.7301,0.353332594,0.288228458,0.484301937,0.26864902,0.186137227,0.32049658,0.9,0.9,1,1,0.8,0,0.7,0.7,1,0.9,0,0.9,0.8,0.9,0.8
山东大学,综合,山东,0.7257,0.7292,0.7114,0.527004547,0.462062095,0.657314629,0.456600206,0.411682336,0.303268305,1,1,1,0.9,0.9,0,0.9,0.8,0.9,0.9,0.7,1,0.8,0.9,0.7
